Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage
Pavel Datsyuk,80,27,43,70,17,18,18,0,9,3,27,0,16,203,13.3,1628,20:21,5.8,2.7,8.6,33,85,589,478,0.5520149953139644
Henrik Zetterberg,74,23,47,70,12,26,20,0,3,6,27,1,19,309,7.4,1485,20:04,5.8,2.4,8.2,34,44,536,543,0.49675625579240035
Nicklas Lidström,82,9,40,49,22,24,4,0,5,1,22,3,15,194,4.6,2085,25:26,3.8,6.9,10.7,82,56,0,0,NA
Tomas Holmström,68,25,20,45,5,60,12,0,13,5,11,0,9,131,19.1,1075,15:49,4.5,1.6,6.1,6,69,0,1,0
Todd Bertuzzi,82,18,26,44,-7,80,14,0,4,4,19,0,7,216,8.3,1375,16:46,2.8,1.4,4.2,19,104,11,12,0.4782608695652174
Brian Rafalski,78,8,34,42,23,26,3,0,5,1,20,0,14,134,6,1890,24:14,3.2,6.5,9.7,101,39,0,0,NA
Valtteri Filppula,55,11,24,35,-4,24,9,1,1,1,16,1,7,114,9.6,1003,18:14,2.1,1.1,3.2,25,34,292,266,0.5232974910394266
Dan Cleary,64,15,19,34,-3,29,13,0,2,2,14,0,5,140,10.7,1103,17:14,2.1,1.3,3.4,25,119,59,60,0.4957983193277311
Darren Helm,75,11,13,24,-2,18,8,3,0,3,13,0,0,165,6.7,1087,14:30,0.7,1.3,1.9,48,185,437,428,0.5052023121387283
Patrick Eaves,65,12,10,22,0,26,11,1,0,1,10,0,0,120,10,874,13:26,1.2,1.1,2.3,43,125,4,10,0.2857142857142857
Kris Draper,81,7,15,22,-2,28,6,0,1,0,14,1,0,98,7.1,935,11:32,0.5,1.1,1.5,19,99,166,153,0.5203761755485894
Niklas Kronwall,48,7,15,22,5,32,4,0,3,0,6,4,5,68,10.3,1052,21:55,1.9,3,4.9,62,86,0,0,NA
Johan Franzén,27,10,11,21,1,22,4,0,6,1,6,0,5,91,11,505,18:42,1.9,0.7,2.6,12,46,15,12,0.5555555555555556
Brad Stuart,82,4,16,20,-12,22,3,0,1,2,14,0,2,153,2.6,1900,23:10,0.3,3.6,4,131,205,1,1,0.5
Drew Miller,66,10,9,19,5,10,8,1,1,3,6,0,3,93,10.8,839,12:42,0.7,1.3,2,46,97,13,27,0.325
Jason Williams,44,6,9,15,-7,8,3,0,3,1,6,0,3,96,6.3,595,13:32,0.6,0.5,1,5,33,30,30,0.5
Jonathan Ericsson,62,4,9,13,-15,44,3,1,0,1,9,0,0,55,7.3,1036,16:42,0.6,1.3,1.9,47,93,0,0,NA
Brett Lebda,63,1,7,8,-2,24,1,0,0,0,6,0,1,61,1.6,944,14:59,-0.2,2.1,2,39,39,0,0,NA
Ville Leino,42,4,3,7,-10,6,3,0,1,1,2,0,1,54,7.4,555,13:13,-0.4,0.3,-0.1,14,12,1,4,0.2
Kirk Maltby,52,4,2,6,1,32,3,1,0,0,2,0,0,43,9.3,526,10:06,-0.4,0.7,0.3,25,82,7,6,0.5384615384615384
Justin Abdelkader,50,3,3,6,-11,35,3,0,0,0,3,0,0,79,3.8,530,10:35,-0.6,0.2,-0.3,20,152,148,170,0.46540880503144655
Derek Meech,49,2,4,6,-12,19,1,0,1,2,4,0,0,57,3.5,584,11:55,0.2,0.4,0.6,25,36,0,0,NA
Andreas Lilja,20,1,1,2,-2,4,1,0,0,0,1,0,0,19,5.3,283,14:08,0,0.5,0.5,21,38,0,0,NA
Jimmy Howard,63,0,2,2,0,2,0,0,0,0,NA,NA,NA,0,NA,3740,59:22,0,0,13.8,0,0,0,0,NA
Doug Janik,13,0,2,2,-3,18,0,0,0,0,2,0,0,5,0,175,13:28,0,0.2,0.2,15,4,0,0,NA
Kris Newbury,4,1,0,1,1,4,1,0,0,0,0,0,0,3,33.3,35,8:41,0.1,0.1,0.2,2,10,7,11,0.3888888888888889
Brad May,40,0,1,1,-5,66,0,0,0,0,1,0,0,26,0,279,6:58,-0.7,0.1,-0.6,4,58,0,1,0
Chris Osgood,23,0,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,1252,54:26,0,0,1.8,0,0,0,0,NA
Jakub Kindl,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,32,10:50,0,-0.1,-0.1,0,0,0,0,NA
Mattias Ritola,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,58,11:42,-0.2,0.1,-0.1,2,7,0,3,0
