Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Henrik Zetterberg,77,17,49,66,-6,32,13,0,4,3,25,0,24,227,7.5,1472,19:07,5.3,1.4,6.7,26,55,541,522,0.5089369708372531,2015
Pavel Datsyuk,63,26,39,65,12,8,18,0,8,5,23,0,16,165,15.8,1200,19:03,6.9,1.9,8.8,28,51,601,517,0.537567084078712,2015
Tomas Tatar,82,29,27,56,6,28,20,0,9,7,17,0,10,211,13.7,1330,16:13,5.9,1.8,7.7,18,90,6,4,0.6,2015
Gustav Nyquist,82,27,27,54,-11,26,13,0,14,4,17,0,10,195,13.8,1366,16:39,5.3,1.1,6.4,31,43,1,8,0.1111111111111111,2015
Justin Abdelkader,71,23,21,44,3,72,15,0,8,5,15,0,6,154,14.9,1272,17:55,4,1.6,5.6,28,153,7,8,0.4666666666666667,2015
Niklas Kronwall,80,9,35,44,-4,40,6,0,3,1,15,0,20,101,8.9,1907,23:50,3.6,3.6,7.2,106,91,1,0,1,2015
Riley Sheahan,79,13,23,36,-3,16,8,0,5,0,17,0,6,123,10.6,1236,15:39,2.1,1.3,3.3,20,21,484,479,0.5025960539979232,2015
Darren Helm,75,15,18,33,7,12,10,2,3,1,14,0,4,160,9.4,1188,15:50,2.1,1.7,3.7,25,132,223,192,0.5373493975903615,2015
Danny DeKeyser,80,2,29,31,11,42,2,0,0,1,23,0,6,89,2.2,1674,20:56,1.6,4.4,6,88,74,0,0,NA,2015
Stephen Weiss,52,9,16,25,-2,16,6,0,3,1,10,0,6,52,17.3,590,11:21,2.2,0.6,2.8,12,19,10,11,0.47619047619047616,2015
Johan Franzén,33,7,15,22,-12,30,3,0,4,3,8,0,7,74,9.5,530,16:04,1.8,0.1,1.9,13,45,5,10,0.3333333333333333,2015
Luke Glendening,82,12,6,18,5,34,11,0,1,2,6,0,0,104,11.5,1207,14:43,0,1.6,1.6,73,147,499,463,0.5187110187110187,2015
Tomas Jurco,63,3,15,18,6,14,2,0,1,0,14,0,1,92,3.3,725,11:31,0.3,1.1,1.4,11,97,0,2,0,2015
Kyle Quincey,73,3,15,18,10,77,3,0,0,0,14,1,0,90,3.3,1422,19:29,0.6,3.8,4.4,82,104,0,0,NA,2015
Jonathan Ericsson,82,3,12,15,-5,70,3,0,0,0,11,1,0,82,3.7,1606,19:35,0,2.9,2.9,55,114,0,0,NA,2015
Jakub Kindl,35,5,8,13,2,22,3,0,2,0,3,0,5,54,9.3,557,15:55,1.3,1.3,2.7,25,31,0,0,NA,2015
Drew Miller,82,5,8,13,-3,25,4,1,0,0,7,0,1,98,5.1,1102,13:26,-1.1,1.1,0.1,99,119,6,13,0.3157894736842105,2015
Brendan Smith,76,4,9,13,-2,68,4,0,0,1,7,0,2,88,4.5,1360,17:53,0.2,2.6,2.9,68,60,0,0,NA,2015
Marek Zidlicky,21,3,8,11,-2,14,0,0,3,1,3,0,5,27,11.1,379,18:02,1.1,0.6,1.7,17,19,0,0,NA,2015
Teemu Pulkkinen,31,5,3,8,5,10,4,0,1,2,2,0,1,67,7.5,356,11:29,0.5,0.6,1.1,4,3,0,0,NA,2015
Joakim Andersson,68,3,5,8,-4,22,3,0,0,1,5,0,0,74,4.1,791,11:38,-1,0.7,-0.3,24,27,192,183,0.512,2015
Erik Cole,11,3,3,6,-2,0,2,0,1,0,1,0,2,24,12.5,161,14:39,0.6,0.1,0.7,3,18,1,0,1,2015
Xavier Ouellet,21,2,1,3,4,2,2,0,0,0,1,0,0,27,7.4,344,16:23,0.1,1.1,1.2,13,11,0,0,NA,2015
Dan Cleary,17,1,1,2,-4,6,1,0,0,0,1,0,0,17,5.9,155,9:08,-0.1,0,-0.1,9,21,2,2,0.5,2015
Alexey Marchenko,13,1,1,2,1,2,1,0,0,0,1,0,0,7,14.3,201,15:26,0.1,0.5,0.6,10,9,0,0,NA,2015
Brian Lashoff,11,0,2,2,4,6,0,0,0,0,2,0,0,7,0,146,13:17,0,0.6,0.7,14,7,0,0,NA,2015
Andrej Nestrasil,13,0,2,2,-3,4,0,0,0,0,1,0,1,16,0,144,11:04,-0.2,0,-0.1,3,5,2,0,1,2015
Landon Ferraro,3,1,0,1,1,0,1,0,0,1,0,0,0,4,25,36,11:59,0.1,0.1,0.2,3,3,0,0,NA,2015
Jimmy Howard,53,0,1,1,0,2,0,0,0,0,0,0,1,0,NA,2971,56:03,0,0,7.4,0,0,0,0,NA,2015
Jonas Gustavsson,7,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,351,50:10,0,0,0.9,0,0,0,0,NA,2015
Thomas McCollum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,66,32:57,0,0,0.3,0,0,0,0,NA,2015
Petr Mrazek,29,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1585,54:39,0,0,4.9,0,0,0,0,NA,2015
