Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Pavel Datsyuk,82,31,66,97,41,20,20,1,10,6,36,0,30,264,11.7,1753,21:23:00,8.8,3.7,12.6,42,40,452,380,0.5432692307692307,2008
Henrik Zetterberg,75,43,49,92,30,34,26,1,16,7,29,0,20,358,12,1655,22:04:00,9.9,3.2,13,16,31,666,543,0.5508684863523573,2008
Nicklas Lidström,76,10,60,70,40,40,5,0,5,4,30,1,29,188,5.3,2031,26:43:00,6.4,8.1,14.4,70,23,0,0,NA,2008
Brian Rafalski,73,13,42,55,27,34,3,0,10,1,21,0,21,175,7.4,1757,24:04:00,5.4,6.4,11.7,70,38,0,0,NA,2008
Dan Cleary,63,20,22,42,21,33,15,0,5,3,14,1,7,177,11.3,1095,17:23:00,3.6,2.1,5.7,14,82,56,54,0.509090909090909,2008
Jiri Hudler,81,13,29,42,11,26,10,0,3,2,17,0,12,131,9.9,1067,13:10:00,2.9,1.7,4.6,8,25,10,16,0.38461538461538464,2008
Tomas Holmström,59,20,20,40,9,58,9,0,11,5,13,0,7,137,14.6,1035,17:33:00,3.5,1.6,5.1,7,58,0,1,0,2008
Mikael Samuelsson,73,11,29,40,21,26,8,0,3,1,21,0,8,249,4.4,1187,16:16:00,2.1,2.3,4.4,21,74,6,8,0.42857142857142855,2008
Johan Franzén,72,27,11,38,12,51,13,0,14,8,8,1,2,199,13.6,1276,17:44:00,3.4,2,5.3,24,89,189,201,0.4846153846153846,2008
Valtteri Filppula,78,19,17,36,16,28,16,0,3,3,12,0,5,122,15.6,1323,16:58:00,2.1,2.2,4.3,26,35,314,307,0.5056360708534622,2008
Niklas Kronwall,65,7,28,35,25,44,7,0,0,0,20,0,8,108,6.5,1372,21:06:00,3,5.3,8.3,79,93,0,0,NA,2008
Kris Draper,65,9,8,17,-2,68,7,2,0,2,8,0,0,97,9.3,1016,15:38:00,-0.1,1.1,1,25,90,553,391,0.5858050847457628,2008
Brett Lebda,78,3,11,14,-1,48,3,0,0,1,8,0,3,110,2.7,1285,16:29:00,0.4,2.9,3.3,38,46,0,1,0,2008
Tomas Kopecky,77,5,7,12,2,43,5,0,0,1,7,0,0,87,5.7,740,09:37:00,-0.3,0.9,0.6,17,111,44,65,0.4036697247706422,2008
Chris Chelios,69,3,9,12,11,36,3,0,0,1,9,0,0,60,5,1170,16:58:00,0.3,3.6,3.9,46,56,0,0,NA,2008
Andreas Lilja,79,2,10,12,-2,93,2,0,0,2,10,0,0,72,2.8,1440,18:14:00,-0.1,3.2,3.1,114,133,0,1,0,2008
Kirk Maltby,61,6,4,10,-8,32,6,0,0,1,4,0,0,70,8.6,736,12:04:00,-0.4,0.5,0.1,17,92,3,4,0.42857142857142855,2008
Dallas Drake,65,3,3,6,-12,41,2,1,0,0,3,0,0,46,6.5,696,10:42:00,-1,0.3,-0.7,25,92,29,41,0.4142857142857143,2008
Matt Ellis,35,2,4,6,1,12,2,0,0,1,4,0,0,28,7.1,188,05:23:00,0.3,0.3,0.6,2,15,43,44,0.4942528735632184,2008
Mark Hartigan,23,3,1,4,-2,16,3,0,0,0,1,0,0,19,15.8,165,07:09:00,0.3,0.1,0.4,0,25,60,54,0.5263157894736842,2008
Aaron Downey,56,0,3,3,0,116,0,0,0,0,3,0,0,15,0,257,04:35:00,-0.4,0.3,-0.1,6,79,0,0,NA,2008
Derek Meech,32,0,3,3,-5,6,0,0,0,0,0,0,3,44,0,388,12:08:00,-0.1,0.5,0.4,18,22,0,0,NA,2008
Chris Osgood,43,0,3,3,0,0,0,0,0,0,NA,NA,NA,0,NA,2409,56:01:00,0,0,6.6,0,0,0,0,NA,2008
Brad Stuart,9,1,1,2,6,2,1,0,0,0,1,0,0,21,4.8,187,20:46:00,0.1,0.9,1,13,30,0,0,NA,2008
Jonathan Ericsson,8,1,0,1,-3,4,0,0,1,0,0,0,0,19,5.3,128,15:58:00,0.1,0,0.1,3,9,0,0,NA,2008
Dominik Hasek,41,0,1,1,0,12,0,0,0,0,NA,NA,NA,0,NA,2350,57:19:00,0,0,4.5,0,0,0,0,NA,2008
Darren McCarty,3,0,1,1,2,2,0,0,0,0,1,0,0,3,0,23,07:47:00,0,0.1,0.2,1,4,0,0,NA,2008
Mattias Ritola,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,12,05:47:00,0.1,0,0.1,0,0,0,0,NA,2008
Justin Abdelkader,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,24,12:13:00,-0.1,0,0,0,5,5,7,0.4166666666666667,2008
Darren Helm,7,0,0,0,-2,2,0,0,0,0,0,0,0,7,0,49,07:00:00,-0.1,0,-0.2,0,3,5,18,0.21739130434782608,2008
Jimmy Howard,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,197,49:16:00,0,0,0.8,0,0,0,0,NA,2008
Kyle Quincey,6,0,0,0,-3,4,0,0,0,0,0,0,0,5,0,84,13:58:00,-0.1,-0.1,-0.2,7,12,0,0,NA,2008
Garrett Stafford,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,06:45:00,0,0,0,0,1,0,0,NA,2008
Pavel Datsyuk,81,32,65,97,34,22,20,1,11,3,39,1,25,248,12.9,1556,19:13:00,8.9,2.6,11.5,33,75,621,489,0.5594594594594594,2009
Henrik Zetterberg,77,31,42,73,13,36,17,2,12,5,24,0,18,309,10,1531,19:53:00,6.4,1.7,8.1,31,54,624,546,0.5333333333333333,2009
Marián Hossa,74,40,31,71,27,63,30,0,10,8,17,1,13,307,13,1317,17:48:00,7.7,2.1,9.9,9,69,4,15,0.21052631578947367,2009
Johan Franzén,71,34,25,59,21,44,22,1,11,8,17,0,8,246,13.8,1285,18:06:00,6,1.9,7.8,22,90,132,105,0.5569620253164557,2009
Nicklas Lidström,78,16,43,59,31,30,6,0,10,4,19,1,23,180,8.9,1936,24:49:00,5.5,5.7,11.2,66,43,0,0,NA,2009
Brian Rafalski,78,10,49,59,17,20,5,0,5,1,26,0,23,141,7.1,1808,23:10:00,5,4.4,9.4,64,31,0,0,NA,2009
Jiri Hudler,82,23,34,57,7,16,17,0,6,2,12,0,22,155,14.8,1119,13:39:00,5.1,1.2,6.3,8,20,12,16,0.42857142857142855,2009
Niklas Kronwall,80,6,45,51,2,50,2,0,4,1,26,1,18,121,5,1832,22:54:00,3.7,3.2,7,106,94,1,0,1,2009
