Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,26,6-2,213,L/-,6,"February 25, 1987"
11,Daniel Alfredsson,RW,41,5-11,196,R/-,17,"December 11, 1972"
53,Adam Almqvist,D,22,5-11,174,-/-,NA,"February 27, 1991"
18,Joakim Andersson,C,24,6-2,211,L/-,2,"February 5, 1989"
44,Todd Bertuzzi,RW,38,6-3,229,L/-,17,"February 2, 1975"
57,Mitch Callahan,RW,22,5-11,198,R/-,NA,"August 17, 1991"
71,Dan Cleary,RW,35,6-1,205,L/-,15,"December 18, 1978"
13,Pavel Datsyuk,C,35,5-11,194,L/-,11,"July 20, 1978"
65,Danny DeKeyser,D,23,6-3,190,L/-,1,"March 7, 1990"
17,Patrick Eaves,RW,29,5-11,203,R/-,8,"May 1, 1984"
25,Cory Emmerton,C,25,6-0,191,L/-,3,"June 1, 1988"
52,Jonathan Ericsson,D,29,6-4,218,L/-,6,"March 2, 1984"
29,Landon Ferraro,C,22,6-0,176,R/-,NA,"August 8, 1991"
93,Johan Franzén,RW,34,6-4,232,L/-,8,"December 23, 1979"
41,Luke Glendening,C,24,5-11,190,R/-,NA,"April 28, 1989"
50,Jonas Gustavsson,G,29,6-4,201,-/L,4,"October 24, 1984"
43,Darren Helm,C,27,6-0,192,L/-,6,"January 21, 1987"
35,Jimmy Howard,G,29,6-1,218,-/L,7,"March 26, 1984"
26,Tomas Jurco,RW,21,6-1,188,L/-,NA,"December 28, 1992"
4,Jakub Kindl,D,26,6-3,199,L/-,4,"February 10, 1987"
55,Niklas Kronwall,D,33,6-0,194,L/-,9,"January 12, 1981"
23,Brian Lashoff,D,23,6-3,213,L/-,1,"July 16, 1990"
17,David Legwand,C,33,6-2,207,L/-,14,"August 17, 1980"
47,Alexey Marchenko,D,22,6-3,210,R/-,NA,"January 2, 1992"
20,Drew Miller,LW,29,6-2,183,L/-,6,"February 17, 1984"
34,Petr Mrazek,G,21,6-1,190,-/L,1,"February 14, 1992"
14,Gustav Nyquist,RW,24,5-11,180,L/-,2,"September 1, 1989"
61,Xavier Ouellet,D,20,6-1,193,L/-,NA,"July 29, 1993"
56,Teemu Pulkkinen,RW,22,5-10,185,R/-,NA,"January 2, 1992"
27,Kyle Quincey,D,28,6-2,210,L/-,8,"August 12, 1985"
37,Mikael Samuelsson,RW,37,6-2,218,R/-,12,"December 23, 1976"
15,Riley Sheahan,C,22,6-4,204,L/-,2,"December 7, 1991"
2,Brendan Smith,D,24,6-2,201,L/-,2,"February 8, 1989"
48,Ryan Sproul,D,21,6-4,205,R/-,NA,"January 13, 1993"
21,Tomas Tatar,LW,23,5-10,173,L/-,2,"December 1, 1990"
22,Jordin Tootoo,RW,30,5-9,195,R/-,9,"February 2, 1983"
90,Stephen Weiss,C,30,5-11,190,L/-,11,"April 3, 1983"
40,Henrik Zetterberg,LW,33,6-0,197,L/-,10,"October 9, 1980"
